Date,OFZ_26209
2019-04-23,994.8
2019-04-24,995.0
2019-04-25,994.8
2019-04-26,995.3
2019-04-29,996.2
2019-04-30,997.0
2019-05-02,997.4
2019-05-03,997.5
2019-05-06,997.14
2019-05-07,995.99
2019-05-08,997.36
2019-05-10,995.74
2019-05-13,996.98
2019-05-14,996.99
2019-05-15,998.97
2019-05-16,999.49
2019-05-17,1000.74
2019-05-20,1001.5
2019-05-21,1002.0
2019-05-22,1004.0
2019-05-23,1002.91
2019-05-24,1003.2
2019-05-27,1003.48
2019-05-28,1002.97
2019-05-29,1002.42
2019-05-30,1003.5
2019-05-31,1003.89
2019-06-03,1003.1
2019-06-04,1004.46
2019-06-05,1005.19
2019-06-06,1006.44
2019-06-07,1007.99
2019-06-10,1008.67
2019-06-11,1008.99
2019-06-13,1008.36
2019-06-14,1008.73
2019-06-17,1010.8
2019-06-18,1011.5
2019-06-19,1012.88
2019-06-20,1014.99
2019-06-21,1014.47
2019-06-24,1013.89
2019-06-25,1014.39
2019-06-26,1013.1
2019-06-27,1013.4
2019-06-28,1013.79
2019-07-01,1013.7
2019-07-02,1013.98
2019-07-03,1013.58
2019-07-04,1014.4
2019-07-05,1014.8
2019-07-08,1015.21
2019-07-09,1015.3
2019-07-10,1016.31
2019-07-11,1016.89
2019-07-12,1014.65
2019-07-15,1015.9
2019-07-16,1015.21
2019-07-17,1016.24
2019-07-18,1015.87
2019-07-19,1016.5
2019-07-22,1017.84
2019-07-23,1018.8
2019-07-24,1019.99
2019-07-25,1021.98
2019-07-26,1019.99
2019-07-29,1019.51
2019-07-30,1019.83
2019-07-31,1020.24
2019-08-01,1019.85
2019-08-02,1016.28
2019-08-05,1018.3
2019-08-06,1018.63
2019-08-07,1018.97
2019-08-08,1018.3
2019-08-09,1018.4
2019-08-12,1018.09
2019-08-13,1017.8
2019-08-14,1017.51
2019-08-15,1017.8
2019-08-16,1017.99
2019-08-19,1017.64
2019-08-20,1018.18
2019-08-21,1019.99
2019-08-22,1020.7
2019-08-23,1019.71
2019-08-26,1020.5
2019-08-27,1020.31
2019-08-28,1021.5
2019-08-29,1022.5
2019-08-30,1024.0
2019-09-02,1023.88
2019-09-03,1024.0
2019-09-04,1025.7
2019-09-05,1025.59
2019-09-06,1026.47
2019-09-09,1026.75
2019-09-10,1025.99
2019-09-11,1025.69
2019-09-12,1026.32
2019-09-13,1026.19
2019-09-16,1025.9
2019-09-17,1025.46
2019-09-18,1025.29
2019-09-19,1026.48
2019-09-20,1027.28
2019-09-23,1026.0
2019-09-24,1025.68
2019-09-25,1025.71
2019-09-26,1026.3
2019-09-27,1026.51
2019-09-30,1026.59
2019-10-01,1026.5
2019-10-02,1026.0
2019-10-03,1026.4
2019-10-04,1027.86
2019-10-07,1028.67
2019-10-08,1029.1
2019-10-09,1029.97
2019-10-10,1032.27
2019-10-11,1032.91
2019-10-14,1033.01
2019-10-15,1034.4
2019-10-16,1034.17
2019-10-17,1034.4
2019-10-18,1037.0
2019-10-21,1037.88
2019-10-22,1038.95
2019-10-23,1039.39
2019-10-24,1038.67
2019-10-25,1040.39
2019-10-28,1041.48
2019-10-29,1040.63
2019-10-30,1041.09
2019-10-31,1041.05
2019-11-01,1041.01
2019-11-05,1041.76
2019-11-06,1042.48
2019-11-07,1043.6
2019-11-08,1042.82
2019-11-11,1041.85
2019-11-12,1040.02
2019-11-13,1040.0
2019-11-14,1040.65
2019-11-15,1041.37
2019-11-18,1041.8
2019-11-19,1042.49
2019-11-20,1042.1
2019-11-21,1042.5
2019-11-22,1042.47
2019-11-25,1042.3
2019-11-26,1042.45
2019-11-27,1042.7
2019-11-28,1042.52
2019-11-29,1042.2
2019-12-02,1042.38
2019-12-03,1042.16
2019-12-04,1042.38
2019-12-05,1042.02
2019-12-06,1042.49
