Date,YNDX
2019-05-31,2336.60009765625
2019-06-03,2319.0
2019-06-04,2341.0
2019-06-05,2355.39990234375
2019-06-06,2386.39990234375
2019-06-07,2418.60009765625
2019-06-10,2435.0
2019-06-11,2494.800048828125
2019-06-13,2492.0
2019-06-14,2465.0
2019-06-17,2455.800048828125
2019-06-18,2480.199951171875
2019-06-19,2470.199951171875
2019-06-20,2492.800048828125
2019-06-21,2468.39990234375
2019-06-24,2452.60009765625
2019-06-25,2424.60009765625
2019-06-26,2391.60009765625
2019-06-27,2410.0
2019-06-28,2405.39990234375
2019-07-01,2482.39990234375
2019-07-02,2491.199951171875
2019-07-03,2505.39990234375
2019-07-04,2494.800048828125
2019-07-05,2481.39990234375
2019-07-08,2465.0
2019-07-09,2478.0
2019-07-10,2500.199951171875
2019-07-11,2495.0
2019-07-12,2573.0
2019-07-15,2546.39990234375
2019-07-16,2542.60009765625
2019-07-17,2509.199951171875
2019-07-18,2489.800048828125
2019-07-19,2518.0
2019-07-22,2486.0
2019-07-23,2482.800048828125
2019-07-24,2507.0
2019-07-25,2461.60009765625
2019-07-26,2520.0
2019-07-29,2441.0
2019-07-30,2480.39990234375
2019-07-31,2490.0
2019-08-01,2550.60009765625
2019-08-02,2470.0
2019-08-05,2369.60009765625
2019-08-06,2413.0
2019-08-07,2428.800048828125
2019-08-08,2413.199951171875
2019-08-09,2405.0
2019-08-12,2410.0
2019-08-13,2428.0
2019-08-14,2374.0
2019-08-15,2365.39990234375
2019-08-16,2394.0
2019-08-19,2424.0
2019-08-20,2438.39990234375
2019-08-21,2421.199951171875
2019-08-22,2399.0
2019-08-23,2391.0
2019-08-26,2394.39990234375
2019-08-27,2429.800048828125
2019-08-28,2434.0
2019-08-29,2441.0
2019-08-30,2462.800048828125
2019-09-02,2469.800048828125
2019-09-03,2487.0
2019-09-04,2487.0
2019-09-05,2509.199951171875
2019-09-06,2503.60009765625
2019-09-09,2466.0
2019-09-10,2450.199951171875
2019-09-11,2466.199951171875
2019-09-12,2457.0
2019-09-13,2453.0
2019-09-16,2447.60009765625
2019-09-17,2438.39990234375
2019-09-18,2432.0
2019-09-19,2407.39990234375
2019-09-20,2350.199951171875
2019-09-23,2342.199951171875
2019-09-24,2301.39990234375
2019-09-25,2322.39990234375
2019-09-26,2319.60009765625
2019-09-27,2315.800048828125
2019-09-30,2263.39990234375
2019-10-01,2287.0
2019-10-02,2250.0
2019-10-03,2265.0
2019-10-04,2274.39990234375
2019-10-07,2284.199951171875
2019-10-08,2295.199951171875
2019-10-09,2312.0
2019-10-10,2327.0
2019-10-11,1898.0
2019-10-14,1969.4000244140625
2019-10-15,1986.5999755859375
2019-10-16,1950.5999755859375
2019-10-17,1924.0
2019-10-18,1934.0
2019-10-21,2061.0
2019-10-22,2054.60009765625
2019-10-23,2046.5999755859375
2019-10-24,2090.199951171875
2019-10-25,2064.0
2019-10-28,2118.39990234375
2019-10-29,2134.39990234375
2019-10-30,2156.0
2019-10-31,2125.800048828125
2019-11-01,2138.0
2019-11-05,2171.39990234375
2019-11-06,2191.0
2019-11-07,2187.800048828125
2019-11-08,2184.800048828125
2019-11-11,2179.60009765625
2019-11-12,2184.0
2019-11-13,2173.800048828125
2019-11-14,2186.39990234375
2019-11-15,2267.0
2019-11-18,2525.199951171875
2019-11-19,2510.0
2019-11-20,2514.39990234375
2019-11-21,2549.0
2019-11-22,2566.199951171875
2019-11-25,2629.0
2019-11-26,2635.800048828125
2019-11-27,2668.0
2019-11-28,2624.60009765625
2019-11-29,2693.0
2019-12-02,2620.60009765625
2019-12-03,2599.0
2019-12-04,2607.39990234375
2019-12-05,2568.39990234375
